iter	RMSE
349	58.56808948
350	58.56344428
351	58.55300177
352	58.54467204
353	58.53470718
354	58.52710071
355	58.51631022
356	58.50540127
357	58.48952335
358	58.47767666
359	58.46400452
360	58.45503382
361	58.44676271
362	58.43448651
363	58.42210164
364	58.41343748
365	58.40188482
366	58.38920031
367	58.37482116
368	58.36230946
369	58.3574202
370	58.35232172
371	58.3288535
372	58.32062856
373	58.31053419
374	58.30159618
375	58.2919391
376	58.28413979
377	58.27646838
378	58.26888664
379	58.25841869
380	58.24778729
381	58.23834212
382	58.23453446
383	58.22453708
384	58.21053968
385	58.20539987
386	58.1948575
387	58.18346982
388	58.17465512
389	58.16082246
390	58.15017554
391	58.13618072
392	58.12841011
393	58.1160953
394	58.10319612
395	58.09028914
396	58.08414132
397	58.07015572
398	58.05405349
399	58.04272031
400	58.03665446
401	58.02582933
402	58.01661978
403	58.00824332
404	57.9975921
405	57.98052963
406	57.96935274
407	57.96207534
408	57.95446029
409	57.94720622
410	57.93498199
411	57.93030311
412	57.91927317
413	57.91151986
414	57.90284263
415	57.89103816
416	57.88367139
417	57.87464047
418	57.86059087
419	57.85134011
420	57.84306643
421	57.83183107
422	57.82355239
423	57.81602036
424	57.8083274
425	57.79912801
426	57.79614245
427	57.7822724
428	57.77094173
429	57.76713139
430	57.75633132
431	57.74755516
432	57.73030637
433	57.72064703
434	57.71321285
435	57.70331515
436	57.6952601
437	57.68581383
438	57.67704124
439	57.67203006
440	57.66380255
441	57.65858157
442	57.65143721
443	57.6379548
444	57.62725846
445	57.61896473
446	57.60985872
447	57.60435235
448	57.59577582
449	57.58739561
450	57.57371725
451	57.56722881
452	57.55775849
453	57.55123546
454	57.54251954
455	57.52997305
456	57.51827289
457	57.51042735
458	57.50054211
459	57.49436608
460	57.48391725
461	57.47282638
462	57.46317657
463	57.45397599
464	57.44850073
465	57.43785322
466	57.43224233
467	57.42445073
468	57.41369455
469	57.40607998
470	57.39414034
471	57.38632286
472	57.37933817
473	57.36910538
474	57.3632701
475	57.35836617
476	57.35293954
477	57.3427306
478	57.32906923
479	57.3188375
480	57.30984133
481	57.29897383
482	57.28923147
483	57.28061345
484	57.277225
485	57.2674479
486	57.26106836
487	57.24861869
488	57.23723321
489	57.22681122
490	57.21785566
491	57.2118013
492	57.20321657
493	57.19733662
494	57.19093032
495	57.18066201
496	57.17356288
497	57.16727131
498	57.16158159
499	57.15540103
500	57.14799082
501	57.14195524
502	57.12620704
503	57.12242604
504	57.10728722
505	57.09619523
506	57.08758196
507	57.07913158
508	57.07369832
509	57.06515032
510	57.05876823
511	57.04683355
512	57.03915963
513	57.03187924
514	57.02446828
515	57.01140022
516	57.00595174
517	56.99712831
518	56.99258088
519	56.98502526
520	56.97713976
521	56.97198588
522	56.96851193
523	56.96336239
524	56.95843712
525	56.95082728
526	56.9428132
527	56.93621134
528	56.93179667
529	56.92559287
530	56.92039701
531	56.9117887
532	56.90111657
533	56.89239532
534	56.88644858
535	56.87741607
536	56.8703218
537	56.86002903
538	56.85255373
539	56.8447946
540	56.84136122
541	56.83544884
542	56.830446
543	56.8247438
544	56.81653791
545	56.80598846
546	56.79968245
547	56.79269148
548	56.78255087
549	56.77387168
550	56.75948626
551	56.75055685
552	56.74472799
553	56.73752298
554	56.73040139
555	56.7242897
556	56.71683705
557	56.70926931
558	56.69887107
559	56.69223847
560	56.68630369
561	56.67578147
562	56.67063739
563	56.66486962
564	56.65665632
565	56.64638934
566	56.63706129
